id (string),tokens (sequence),ner_tags (sequence),ner_coarse_tags (sequence)
"""31""","[ ""Nach"", ""§"", ""7"", ""Abs"", ""4"", ""Satz"", ""1"", ""SGB"", ""II"", ""("", ""in"", ""der"", ""ab"", ""1."", ""8."", ""2006"", ""geltenden"", ""Fassung"", ""des"", ""Gesetzes"", ""zur"", ""Fortentwicklung"", ""der"", ""Grundsicherung"", ""für"", ""Arbeitsuchende"", ""vom"", ""20."", ""7."", ""2006"", "","", ""BGBl"", ""I"", ""1706"", "")"", ""erhält"", ""Leistungen"", ""nach"", ""dem"", ""SGB"", ""II"", ""ua"", ""nicht"", "","", ""wer"", ""Rente"", ""wegen"", ""Alters"", ""oder"", ""Knappschaftsausgleichsleistung"", ""oder"", ""ähnliche"", ""Leistungen"", ""öffentlich-rechtlicher"", ""Art"", ""bezieht"", ""."" ]","[ 38, 3, 22, 22, 22, 22, 22, 22, 22, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 3, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 38, 38, 38, 38, 38, 3, 22, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38 ]","[ 14, 2, 9, 9, 9, 9, 9, 9, 9, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 2, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 14, 14, 14, 14, 14, 2, 9, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14 ]"
"""32""","[ ""Der"", ""Präsident"", ""der"", ""Hochschule"", ""bestellte"", ""ihn"", ""daraufhin"", ""erneut"", ""zum"", ""Kanzler"", "","", ""aus"", ""seiner"", ""Sicht"", ""\"""", ""ohne"", ""Einschränkungen"", "","", ""soweit"", ""zulässig"", ""\"""", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14 ]"
"""33""","[ ""Bei"", ""der"", ""Nennung"", ""von"", ""langen"", ""Strecken"", ""assoziiert"", ""der"", ""Fachmann"", ""im"", ""Zusammenhang"", ""mit"", ""Gleichspannung"", ""ohnehin"", ""nichts"", ""anderes"", ""als"", ""HGÜ"", "","", ""wobei"", ""an"", ""der"", ""genannten"", ""Fundstelle"", ""explizit"", ""ein"", ""„"", ""250"", ""kV"", ""DC"", ""XLPE"", ""cable"", ""“"", ""genannt"", ""ist"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14 ]"
"""34""","[ ""Den"", ""hiergegen"", ""gerichteten"", ""Einspruch"", ""wies"", ""das"", ""FA"", ""mit"", ""Einspruchsentscheidung"", ""vom"", ""19."", ""Februar"", ""2014"", ""als"", ""unbegründet"", ""zurück"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14 ]"
"""35""","[ ""Die"", ""Eigenschaften"", ""der"", ""Kommunikationseinrichtung"", ""und"", ""der"", ""zentralen"", ""Datenbank"", ""beeinflussen"", ""somit"", ""die"", ""Ausgestaltung"", ""der"", ""Schlüssel"", ""insofern"", "","", ""als"", ""technische"", ""Gegebenheiten"", ""Berücksichtigung"", ""finden"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14 ]"
"""36""","[ ""("", ""b"", "")"", ""Die"", ""mit"", ""§"", ""14"", ""Abs."", ""2"", ""Satz"", ""2"", ""TzBfG"", ""einhergehenden"", ""Beeinträchtigungen"", ""der"", ""Rechte"", ""der"", ""Arbeitsplatzsuchenden"", ""und"", ""der"", ""Arbeitgeber"", "","", ""erneut"", ""einen"", ""Arbeitsvertrag"", ""sachgrundlos"", ""zu"", ""befristen"", "","", ""stehen"", ""nicht"", ""außer"", ""Verhältnis"", ""zu"", ""den"", ""angestrebten"", ""Zwecken"", "","", ""da"", ""die"", ""Arbeitsgerichte"", ""die"", ""Anwendung"", ""der"", ""Norm"", ""in"", ""verfassungskonformer"", ""Auslegung"", ""auf"", ""Fälle"", ""ausschließen"", ""können"", "","", ""in"", ""denen"", ""dies"", ""für"", ""die"", ""Beteiligten"", ""unzumutbar"", ""wäre"", ""."" ]","[ 38, 38, 38, 38, 38, 3, 22, 22, 22, 22, 22, 22, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38 ]","[ 14, 14, 14, 14, 14, 2, 9, 9, 9, 9, 9, 9, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14 ]"
"""37""","[ ""Ein"", ""derartiges"", ""Shopsystem"", ""kann"", ""sowohl"", ""Datenbank-basiert"", ""und"", ""dynamisch"", ""als"", ""Webanwendung"", ""auf"", ""einem"", ""Webserver"", ""installiert"", ""werden"", "","", ""als"", ""auch"", ""durch"", ""statische"", ""HTML-Seiten"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14 ]"
"""38""","[ ""Tatsächlich"", ""liegt"", ""im"", ""Streitfall"", ""aus"", ""den"", ""unter"", ""d"", "")"", ""genannten"", ""Gründen"", ""schon"", ""keine"", ""rechnerische"", ""doppelte"", ""Besteuerung"", ""vor"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14 ]"
"""39""","[ ""Maßgeblich"", ""ist"", "","", ""dass"", ""die"", ""Freiheitssphären"", ""der"", ""Bürgerinnen"", ""und"", ""Bürger"", ""in"", ""einen"", ""Ausgleich"", ""gebracht"", ""werden"", ""müssen"", "","", ""der"", ""die"", ""in"", ""den"", ""Grundrechten"", ""liegenden"", ""Wertentscheidungen"", ""hinreichend"", ""zur"", ""Geltung"", ""bringt"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14 ]"
"""40""","[ ""("", ""bbb"", "")"", ""Der"", ""durch"", ""§"", ""11"", ""Abs."", ""2"", ""Buchst."", ""d"", ""VO"", ""1990"", ""bewirkte"", ""Anspruchsausschluss"", ""ist"", ""auch"", ""erforderlich"", ""iSv."", ""§"", ""10"", ""Satz"", ""2"", ""AGG"", ""."" ]","[ 38, 38, 38, 38, 38, 17, 36, 36, 36, 36, 36, 36, 36, 38, 38, 38, 38, 38, 38, 3, 22, 22, 22, 22, 38 ]","[ 14, 14, 14, 14, 14, 5, 12, 12, 12, 12, 12, 12, 12, 14, 14, 14, 14, 14, 14, 2, 9, 9, 9, 9, 14 ]"
"""41""","[ ""Deren"", ""Höhe"", ""können"", ""sie"", ""„"", ""frei"", ""wählen"", ""“"", "","", ""sie"", ""müssen"", ""jedoch"", ""mindestens"", ""„"", ""50"", ""%"", ""des"", ""Beitrags"", ""gemäß"", ""Satz"", ""1"", ""“"", "","", ""dh."", ""des"", ""monatlichen"", ""Beitrags"", ""eines"", ""Mitglieds"", ""im"", ""ZDS"", "","", ""leisten"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 9, 38, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 3, 14, 14, 14 ]"
"""42""","[ ""Tatsache"", ""sei"", "","", ""dass"", ""der"", ""Aufenthalt"", ""bzw."", ""die"", ""Zustelladresse"", ""bis"", ""heute"", ""nicht"", ""bekannt"", ""seien"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14 ]"
"""43""","[ ""Sonderzahlung"", ""-"", ""Inanspruchnahme"", ""vorgezogenen"", ""Altersruhegeldes"", ""-"", ""Vertrauensschutz"" ]","[ 38, 38, 38, 38, 38, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14 ]"
"""44""","[ ""Anders"", ""als"", ""der"", ""Betreuer"", ""ist"", ""der"", ""Verfahrenspfleger"", ""nicht"", ""der"", ""Vertreter"", ""des"", ""Betroffenen"", "";"", ""er"", ""handelt"", ""vielmehr"", ""als"", ""eigenständiger"", ""Verfahrensbeteiligter"", ""stets"", ""in"", ""eigenem"", ""Namen"", ""("", ""vgl."", ""BVerfGK"", ""20"", "","", ""304"", ""<"", ""306"", "">"", "";"", ""Budde"", "","", ""in"", "":"", ""Keidel"", "","", ""FamFG"", "","", ""19."", ""Aufl."", ""2017"", "","", ""§"", ""276"", ""Rn."", ""26"", "")"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 12, 31, 31, 31, 31, 31, 31, 38, 7, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 6, 13, 13, 13, 13, 13, 13, 14, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 14, 14 ]"
"""45""","[ ""Hierdurch"", ""wird"", ""das"", ""Revisionsgericht"", ""in"", ""die"", ""Lage"", ""versetzt"", "","", ""nachprüfen"", ""zu"", ""können"", "","", ""ob"", ""der"", ""Freispruch"", ""auf"", ""rechtlich"", ""bedenkenfreien"", ""Erwägungen"", ""beruht"", ""("", ""BGH"", "","", ""Urteil"", ""vom"", ""8."", ""Mai"", ""2014"", ""-"", ""1"", ""StR"", ""72213"", "","", ""aaO"", "";"", ""Urteil"", ""vom"", ""5."", ""Februar"", ""2013"", ""-"", ""1"", ""StR"", ""40512"", "","", ""NJW"", ""2013"", "","", ""1106"", "","", ""jew."", ""mwN"", "")"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 12, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 38, 12, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 38, 38, 38, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 6, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 14, 6, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 14, 14, 14, 14, 14 ]"
"""46""","[ ""Da"", ""§"", ""2"", ""Abs."", ""1"", ""Satz"", ""1"", ""UmwStG"", ""1995"", ""für"", ""vom"", ""zweiten"", ""bis"", ""fünften"", ""Teil"", ""des"", ""UmwStG"", ""1995"", ""erfasste"", ""übertragende"", ""Umwandlungen"", ""("", ""hier"", "":"", ""die"", ""nach"", ""§"", ""1"", ""Abs."", ""2"", ""Halbsatz"", ""2"", ""UmwStG"", ""1995"", ""dem"", ""dritten"", ""Gesetzesteil"", ""unterfallende"", ""Vollübertragung"", ""i."", ""S."", ""des"", ""§"", ""174"", ""Abs."", ""1"", ""UmwG"", "")"", ""unmittelbar"", ""gilt"", ""("", ""vgl."", ""Widmann"", ""in"", ""Widmann"", """", ""Mayer"", "","", ""a."", ""a."", ""O."", "","", ""§"", ""2"", ""UmwStG"", ""Rz"", ""4"", "";"", ""Hörtnagl"", ""in"", ""Schmitt"", """", ""Hörtnagl"", """", ""Stratz"", "","", ""a."", ""a."", ""O."", "","", ""§"", ""2"", ""UmwStG"", ""Rz"", ""3"", "")"", "","", ""sind"", ""danach"", ""im"", ""Streitfall"", ""sowohl"", ""§"", ""2"", ""UmwStG"", ""1995"", ""als"", ""auch"", ""§"", ""12"", ""UmwStG"", ""1995"", ""anwendbar"", ""."" ]","[ 38, 3, 22, 22, 22, 22, 22, 22, 22, 38, 38, 3, 22, 22, 22, 22, 22, 22, 38, 38, 38, 38, 38, 38, 38, 38, 3, 22, 22, 22, 22, 22, 22, 22, 38, 38, 38, 38, 38, 38, 38, 38, 3, 22, 22, 22, 22, 38, 38, 38, 38, 38, 7, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 38, 7, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 38, 38, 38, 38, 38, 38, 38, 3, 22, 22, 22, 38, 38, 3, 22, 22, 22, 38, 38 ]","[ 14, 2, 9, 9, 9, 9, 9, 9, 9, 14, 14, 2, 9, 9, 9, 9, 9, 9, 14, 14, 14, 14, 14, 14, 14, 14, 2, 9, 9, 9, 9, 9, 9, 9, 14, 14, 14, 14, 14, 14, 14, 14, 2, 9, 9, 9, 9, 14, 14, 14, 14, 14, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 14, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 14, 14, 14, 14, 14, 14, 14, 2, 9, 9, 9, 14, 14, 2, 9, 9, 9, 14, 14 ]"
"""47""","[ ""Nachdem"", ""im"", ""August"", ""2009"", ""der"", ""Beklagte"", ""auf"", ""den"", ""Rentenbezug"", ""der"", ""Klägerin"", ""hingewiesen"", ""worden"", ""war"", ""und"", ""bei"", ""ihr"", ""nachgefragt"", ""hatte"", "","", ""legte"", ""die"", ""Klägerin"", ""Unterlagen"", ""über"", ""die"", ""russische"", ""Rente"", ""vor"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14 ]"
"""48""","[ ""4."", ""Falls"", ""die"", ""dritte"", ""Vorlagefrage"", ""bejaht"", ""wird"", "":"" ]","[ 38, 38, 38, 38, 38, 38, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14 ]"
"""49""","[ ""Bei"", ""der"", ""Vertretung"", ""im"", ""Wege"", ""sog."", ""„"", ""gedanklicher"", ""Zuordnung"", ""“"", ""wird"", ""die"", ""Kausalität"", ""zwischen"", ""der"", ""vorübergehenden"", ""Abwesenheit"", ""der"", ""Stammkraft"", ""und"", ""der"", ""Einstellung"", ""einer"", ""Vertretungskraft"", ""dadurch"", ""hergestellt"", "","", ""dass"", ""der"", ""Arbeitgeber"", ""bei"", ""Abschluss"", ""des"", ""befristeten"", ""Arbeitsvertrags"", ""mit"", ""der"", ""Vertretungskraft"", ""deren"", ""Aufgaben"", ""der"", ""vorübergehend"", ""abwesenden"", ""Stammkraft"", ""nach"", ""außen"", ""erkennbar"", ""gedanklich"", ""zuordnet"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14 ]"
"""50""","[ ""II."", ""Die"", ""Beschwerde"", ""ist"", ""zulässig"", "","", ""hat"", ""aber"", ""in"", ""der"", ""Sache"", ""keinen"", ""Erfolg"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14 ]"
"""51""","[ ""aa"", "")"", ""Hinsichtlich"", ""der"", ""in"", ""Klasse"", ""2"", ""beanspruchten"", ""Waren"", ""werden"", ""die"", ""angesprochenen"", ""Fachkreise"", ""sowie"", ""die"", ""interessierten"", ""Verbraucherkreise"", "","", ""denen"", ""Softfeel"", ""als"", ""gängiger"", ""Fachbegriff"", ""im"", ""Bereich"", ""der"", ""Lacke"", ""und"", ""Farben"", ""bekannt"", ""ist"", "","", ""das"", ""Anmeldezeichen"", ""unmittelbar"", ""als"", ""Sachhinweis"", ""auf"", ""einen"", ""„"", ""Softfeel-Lack"", ""“"", "","", ""eine"", ""„"", ""Softfeel-Farbe"", ""“"", ""bzw."", ""ein"", ""Produkt"", "","", ""welches"", ""einen"", ""„"", ""Softfeel-Effekt"", ""“"", ""herbeizuführen"", ""geeignet"", ""ist"", "","", ""verstehen"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14 ]"
"""52""","[ ""2."", ""Das"", ""Streitpatent"", ""betrifft"", ""eine"", ""Überspannungsschutzeinrichtung"", ""auf"", ""Funkenstreckenbasis"", "","", ""umfassend"", ""mindestens"", ""zwei"", ""in"", ""einem"", ""druckdichten"", ""Gehäuse"", ""befindliche"", ""Hauptelektroden"", ""sowie"", ""mindestens"", ""eine"", ""Zündhilfselektrode"", "","", ""wobei"", ""im"", ""Gehäusevolumen"", ""eine"", ""Funktionsbaugruppe"", ""zum"", ""Reduzieren"", ""der"", ""Ansprechspannung"", ""der"", ""Funkenstrecke"", ""untergebracht"", ""ist"", "","", ""welche"", ""mit"", ""einer"", ""der"", ""Hauptelektroden"", ""und"", ""der"", ""Zündhilfselektrode"", ""in"", ""Verbindung"", ""steht"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14 ]"
"""53""","[ ""-"", ""die"", ""unter"", ""2."", ""a"", "")"", ""genannten"", ""Beschreibungsseiten"", ""und"", ""Zeichnungen"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14 ]"
"""54""","[ ""Der"", ""Wortlaut"", ""des"", ""Gesetzes"", ""spricht"", ""dafür"", "","", ""dass"", ""die"", ""erforderliche"", ""Einigung"", ""über"", ""die"", ""Anwendung"", ""von"", ""§"", ""2"", ""Abs."", ""5"", ""BetrAVG"", ""nur"", ""auf"", ""individualrechtlicher"", ""Ebene"", "","", ""nicht"", ""aber"", ""kollektivrechtlich"", ""durch"", ""eine"", ""normativ"", ""geltende"", ""Betriebsvereinbarung"", ""herbeigeführt"", ""werden"", ""kann"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 3, 22, 22, 22, 22, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 2, 9, 9, 9, 9, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14 ]"
"""55""","[ ""b"", "")"", ""In"", ""den"", ""Verfassungsschutzberichten"", ""des"", ""Bundes"", ""und"", ""eines"", ""Bundeslandes"", ""für"", ""2009"", ""und"", ""2010"", ""wurde"", ""der"", ""Kläger"", ""ausdrücklich"", ""als"", ""extremistisch"", ""bezeichnet"", "","", ""ohne"", ""dass"", ""er"", ""verwaltungsgerichtlich"", ""gegen"", ""diese"", ""Benennung"", ""vorgegangen"", ""ist"", ""("", ""zum"", ""einstweiligen"", ""Rechtsschutz"", ""vgl."", ""Bayerischer"", ""Verwaltungsgerichtshof"", "","", ""Beschluss"", ""vom"", ""16."", ""Juli"", ""2010"", ""10"", ""CE"", ""10.1201"", "","", ""juris"", "","", ""Leitsatz"", ""in"", ""Die"", ""öffentliche"", ""Verwaltung"", ""2012"", "","", ""77"", "")"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 12, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 6, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 14, 14 ]"
"""56""","[ ""Betreuungssache"", "":"", ""Voraussetzungen"", ""der"", ""Bestellung"", ""eines"", ""Notanwalts"" ]","[ 38, 38, 38, 38, 38, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14 ]"
"""57""","[ ""Dass"", ""insoweit"", "","", ""als"", ""die"", ""Beklagte"", ""Verrechnungen"", ""vornahm"", "","", ""Beiträge"", ""der"", ""Schuldnerin"", ""offen"", ""standen"", "","", ""hat"", ""der"", ""Kläger"", ""nicht"", ""in"", ""Abrede"", ""gestellt"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14 ]"
"""58""","[ ""Ob"", ""die"", ""Beklagte"", ""verpflichtet"", ""ist"", "","", ""die"", ""Betriebsrente"", ""des"", ""Klägers"", ""zu"", ""den"", ""Stichtagen"", ""1."", ""Januar"", ""2010"", ""und"", ""1."", ""Januar"", ""2013"", ""anzupassen"", "","", ""kann"", ""der"", ""Senat"", ""auf"", ""der"", ""Grundlage"", ""der"", ""bisherigen"", ""Feststellungen"", ""des"", ""Landesarbeitsgerichts"", ""nicht"", ""abschließend"", ""beurteilen"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14 ]"
"""59""","[ ""Mit"", ""der"", ""vom"", ""Landesarbeitsgericht"", ""zugelassenen"", ""Revision"", ""verfolgt"", ""der"", ""Kläger"", ""seinen"", ""Klageanspruch"", ""weiter"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14 ]"
